project_id,project_name,sector,implementing_agency,approved_cost_cr,planned_commissioning_date,reported_completion_expenditure_cr,completion_date,financial_year,source_url
180100231,SIPAT STPP STAGE -II (2X500 MW)(NTPC)(NATIONAL,Not Reported,"NATIONAL                       4,039.67      12/2007              3,197.88 THERMAL POWER CORPORATION",4039.67,2007-12-01,3197.88,2008-08-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240102194,NANDHI HILLS CROSS-DEVANHALLI (NS and EW-PH-I),Not Reported,NATIONAL HIGHWAYS AUTHORITY OF INDIA,172.06,2004-03-01,188.4,2008-08-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N26000013,PROJECT 2.2 OF NIB-II BROAD BAND RAS(BHARAT SANCHAR,Not Reported,BHARAT SANCHAR                    350.00      05/2006               251.99 NIGAM LIMITED,350.0,2006-05-01,251.99,2008-08-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
120100066,"INSTALLATION OF SLAB CASTLER,RH DEGASSER,LADLE",Not Reported,,520.76,2007-09-01,393.83,2008-09-30,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N22000050,"JAFRABAD-UTRATIA PHASE-II,(LD)(NR)((NR)) - [N22000050]",Not Reported,,64.2,2005-03-01,95.65,2008-09-30,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N22000051,UTRATIA-CHANDRAULI & SULTANPUR-BANDHUAN,Not Reported,,47.12,2004-12-01,98.49,2008-09-30,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
260100075,KARNATAKA CMTS PHASE IV(BHARAT SANCHAR NIGAM,Not Reported,BHARAT SANCHAR NIGAM                           373.46      06/2005               240.47 LIMITED,373.46,2005-06-01,240.47,2008-09-30,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N26000035,ORISSA TELECOM CIRCLE PH-4(BHARAT SANCHAR NIGAM,Not Reported,BHARAT SANCHAR NIGAM                        126.36      09/2008                59.06 LIMITED,126.36,2008-09-01,59.06,2008-09-30,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
180100236,"PATHANKOT TO BHOGPUR , NH-1A (NHAI)(NATIONAL",Annexure-I,NATIONAL                         229.00      05/2008                79.96 HIGHWAYS AUTHORITY OF INDIA,229.0,2008-05-01,79.96,2008-09-30,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
220100166,"KUMARGHAT-AGARTALA(NL),NEFR(NEFR) - [220100166]",Not Reported,NEFR,575.0,2007-03-01,893.19,2008-10-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
