project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk,risk_probability,predicted_cost_p10,predicted_cost_p50,predicted_cost_p90,predicted_delay_p10,predicted_delay_p50,predicted_delay_p90,model_confidence_percentage
,FOUR LANING OF ORISSA/CHATTISGARH BORDER - AURANG,Pkg-Iv)                      (National Highways Authority Of,Not reported,2015,2018-09-30,1232.0,1091.17,-15.465208481459925,-11.431006493506487,-4.034201987953438,675.6395373448321,1156.0,-480.3604626551679,3,3,0.3164631075389798,-46.661238837417095,-10.106647805132122,40.69114380507811,-458.4464373890723,281.5207207939895,4562.513724877986,83.33
,LAYING OF HEAT TRACED PIPE LINE WITH ASSOCIATED FACILITIES,Manali Refinery                        (Chennai Petroleum,Not reported,2018,2018-09-30,337.06,167.16,-20.557816048614512,-50.40645582388892,29.848639775274407,712.5594783403862,60.0,652.5594783403862,2,0,0.5281845205363102,-64.88803595947545,-19.230385227872482,93.16251443023543,-480.3220483481509,284.85971199132365,3274.008850932475,83.33
,NEW CRUDE OIL PIPELINE PROJECT FROM CHENNAI PORT TO,Petroleum,Not reported,2016,2018-09-30,257.87,243.3,-20.548352641241067,-5.650133788342961,-14.898218852898106,793.4645861727095,698.0,95.46458617270946,0,2,0.36200648321888684,-63.53015488685382,-16.218363925970134,11.395440613969342,-519.3142446419486,397.3570253153286,1602.6394167364915,83.33
,TWO LANING WITH PAVED SHOULDER BARMER - SANCHOR -,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2018,2018-09-30,538.08,335.24,-11.207215875260447,-37.696996729110914,26.48978085385047,513.2300738639938,241.0,272.23007386399377,2,1,0.32255308448534314,-24.966126956763294,-13.130412901786901,36.20721262892208,-450.03920537346886,277.415944413673,4011.1607264067643,83.33
,GREEN ENERGY CORRIDORS: INTER-STATE TRANSMISSION,Power,Not reported,2018,2018-12-31,2247.37,1531.89,-5.312771655708004,-31.836324236774534,26.52355258106653,803.1268504742997,183.0,620.1268504742997,2,1,0.4646963549093495,-36.905367132211424,-8.490302472794848,2.8378464021831142,-711.9754960322457,540.8365564066403,1519.4315687706353,83.33
,AUGMENTATION OF TRANSFORMERS IN NORTHERN REGION - PART,Limited And Ind-Barath Power(Madras) Limited L (Power,Not reported,2016,2019-03-31,155.57,146.32,-10.792908832243365,-5.945876454329241,-4.847032377914124,391.8604841485966,1125.0,-733.1395158514034,2,3,0.40251690153717096,-47.14467630688601,-13.912526096056293,123.45244687841176,-276.09527749097015,285.1309870719333,4077.2895597945108,83.33
,COMMON SYSTEM ASSOCIATED WITH COASTAL ENERGEN PRIVATE,Power,Not reported,2014,2019-03-31,1940.13,2562.42,-11.006318367125626,32.074654791173785,-43.080973158299415,803.1268504742997,1672.0,-868.8731495257003,2,3,0.45725178956454865,-36.22468109563627,-11.5411095663077,3.564573816108041,-460.31900095531745,411.9780117683894,1732.077366810106,83.33
,PROVISION OF STATECOM AT NALAGARH AND LUCKNOW IN,Mundra Umpp (Part-B)                      (Power Grid,Not reported,2019,2019-03-31,431.89,264.06,-18.01714327880885,-38.859431799763826,20.842288520954977,472.59454963130435,58.0,414.59454963130435,2,0,0.47845737898621304,-68.9055619357192,-18.656048909670236,88.70085219974374,-474.22143295435677,281.7741720759406,3192.966128057724,83.33
,TRANSMISSION SYSTEM STRENGTHENING ASSOCIATED WITH,B                            (Power Grid Corporation Of India,Not reported,2018,2019-03-31,300.94,253.36,-19.635688153803834,-15.81046055692164,-3.8252275968821934,303.0733322416113,120.0,183.0733322416113,2,1,0.5566467510653103,-57.92678074096782,-18.341983713768506,112.33293659107497,-461.4905411465949,276.5709658451296,3220.886726893228,83.33
,DISTILLATE YIELD IMPROVEMENT PROJECT (COKER) AT HALDIA,Petroleum,Not reported,2017,2019-04-30,3076.0,3450.3,-2.5522858880855877,12.168400520156053,-14.72068640824164,554.6105843141054,606.0,-51.38941568589462,2,2,0.41773824801812015,-25.612547645695074,-0.25204559415450234,14.544181118866472,-472.4106975699678,407.0686710945768,1237.9872005537986,83.33
,JAIPUR - RINGUS - CHURU AND SIKAR - LOHARU GUAGE,Railways,Not reported,2014,2019-04-30,653.19,862.17,14.692679222362852,31.993753731686013,-17.30107450932316,541.4139766152614,1886.0,-1344.5860233847386,0,3,0.4758168291260073,-3.6301251538085424,5.879641577714008,20.758200592557774,-241.82386814314611,375.5098630047328,2071.0019775595574,83.33
,"KHADIA EXPANSION OPENCAST PROJECT(4 TO 10 MTPA,6MTPA",Coal,Not reported,2018,2019-04-30,1131.28,796.85,-32.25355116010669,-29.56208896117672,-2.691462198929969,542.295155815425,425.0,117.295155815425,0,2,0.554675481126841,-25.232366811090706,-25.221846875405447,-10.95255050363976,2.4752462996640077,88.10097746369124,1953.5732798398533,83.33
