project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk,risk_probability,predicted_cost_p10,predicted_cost_p50,predicted_cost_p90,predicted_delay_p10,predicted_delay_p50,predicted_delay_p90,model_confidence_percentage
,"FUEL QUALITY UPGRADATION (NSU,NHT CCR NEW UNIT) PROJECT",Petroleum,Not reported,2019,2021-03-31,951.64,708.43,-16.821628688681805,-25.55693329410282,8.735304605421014,502.1747898367848,547.0,-44.82521016321522,2,2,0.3682060543941571,-28.00105685582505,-8.066255425715427,10.563381567874208,-338.30783599038426,347.9098202206605,1277.8864148169164,83.33
,REHABILITATION AND UPGRADATION OF NH67 FROM KM 424.650 TO,Road Transport And Highways,Not reported,2018,2021-05-31,378.24,315.42,-35.75701787854946,-16.60850253807106,-19.1485153404784,329.66514532265376,1246.0,-916.3348546773462,2,3,0.5700556208738679,-71.91452261380006,-27.081745858495882,-3.750265253648049,-426.85531797331356,367.22521191184813,890.3011010394134,83.33
,MOTOR SPIRIT BLOCK PROJECT (MSBP) TO PRODUCE BSVI MS AT,Petroleum,Not reported,2020,2021-06-30,3313.0,2977.0,-1.085455882157616,-10.141865378810746,9.05640949665313,554.6105843141054,515.0,39.61058431410538,2,2,0.4339251353229463,-25.551179579951214,1.0450197558773802,15.221312785918702,-505.2825315700218,423.53810924967365,1205.0483242436048,83.33
,CONSTRUCTION OF 76 NOS MS FLATS FOR HONORABLE MPS OF,Court Of India At Land Adjoining Pragati Maidan (Central,Not reported,2020,2021-08-31,218.72,175.63,-18.030969852903095,-19.70098756400878,1.670017711105686,607.2787367625018,303.0,304.2787367625018,2,1,0.46805006898843327,-56.86543787174587,-16.71050422228464,112.16471192368729,-340.8401632960178,218.21269806497872,3651.7380193332497,83.33
,CONSTRUCTION OF A NEW POL DEPOT AT VILLAGE DATA IN HISAR,Effluent Treatment Plant At Madhuban              (Oil India,Not reported,2020,2021-08-31,255.0,275.68,-21.77544404428604,8.10980392156863,-29.88524796585467,633.5211296167586,303.0,330.52112961675857,2,1,0.529336669617814,-56.36204571961286,-17.546724130144646,113.37752373913963,-461.73043018960726,276.91338160451033,3334.916891687878,83.33
,CONSTRUCTION OF ADDITIONAL COMPLEX FOR THE SUPREME,Urban Development,Not reported,2015,2021-08-31,884.3,874.29,-20.81702151138098,-1.1319687888725536,-19.685052722508424,541.8669299376845,2100.0,-1558.1330700623155,0,3,0.3874340528782706,-35.14529392586753,-19.583779360714367,-8.344088260016028,66.11194624448561,109.08846597446762,2717.607676097175,83.33
,FOUR LANING OF CHANDIGARH - KHARAR,Shoulders Configuration Of Nabarangpur-Kok (Ministry,Not reported,2017,2021-08-31,447.29,346.39,-18.01714327880885,-22.558071944376138,4.540928665567289,939.749793449544,1369.0,-429.250206550456,2,3,0.47845737898621304,-68.9055619357192,-18.656048909670236,88.70085219974374,-474.22143295435677,281.7741720759406,3192.966128057724,83.33
,FOUR LANNING OF NH-4A(NH-748) FROM KM 118 TO 125 INCL.FOUR,Road Transport And Highways,Not reported,2018,2021-08-31,297.0,290.64,-36.00564188613653,-2.141414141414146,-33.864227744722385,363.7581053881391,1248.0,-884.241894611861,2,3,0.5837893620453791,-65.00151237059681,-26.01963162628611,2.871930077030715,-428.41190165071185,385.0278803979999,867.8414727373365,83.33
,NH 79 CHITTORGARH NEEMUCH MP BORDER FOUR LANING AND NH,Shoulders Configuration Of Nabarangpur-Kok (Ministry,Not reported,2013,2021-08-31,511.0,492.0,-13.005816487191723,-3.7181996086105675,-9.287616878581154,905.8372544911026,2891.0,-1985.1627455088974,2,3,0.32255308448534314,-25.376221000746195,-14.694591194146795,40.74140610385122,-449.0046163309427,277.415944413673,4013.9445781931436,83.33
,NH 79 OF CHITTORGARH NEEMUCH MP BORDER KM 183 000 TO KM,Shoulders Configuration Of Nabarangpur-Kok (Ministry,Not reported,2013,2021-08-31,511.0,2323.04,-13.005816487191723,354.6066536203523,-367.612470107544,905.8372544911026,2891.0,-1985.1627455088974,2,3,0.32255308448534314,-25.376221000746195,-14.694591194146795,40.74140610385122,-449.0046163309427,277.415944413673,4013.9445781931436,83.33
,REHABILITATION AND UP-GRADATION TO 2 LANE WITH PAVED,Shoulder Of Abohar-Sitogunno-Dabwali Road Of Nh,Not reported,2020,2021-08-31,173.24,56.66,-6.327561523861381,-67.29392749942276,60.96636597556138,511.5849621612733,456.0,55.584962161273324,2,2,0.48546802375300435,-46.233031037566114,-14.500291863755052,131.08147528971753,-324.48111567277556,284.6388193754143,3618.4661727751795,83.33
,REHABILITATION AND UPGRADATION OF ALLAHABAD -MIRZAPUR,Shoulder Of Mudki-Jawahar Singh Wala Section Of,Not reported,2019,2021-08-31,239.63,212.53,-16.076244033122965,-11.30910153152777,-4.767142501595195,844.6963989218488,942.0,-97.30360107815125,2,3,0.5255021945262901,-56.888157806360915,-15.435644623518215,112.82143485744783,-457.3888403024179,274.37202101840495,3381.443559372289,83.33
,REHABILITATION AND UPGRADING TO 2 LNES-2 LANE WITH PAVED,Paved Shoulders From Existing                Epc(Ministry Of,Not reported,2014,2021-08-31,376.52,171.16,-18.890582980793056,-54.541591416126636,35.65100843533358,764.4828872698024,2709.0,-1944.5171127301976,2,3,0.4790874226966307,-67.7793534568633,-18.823339219919927,92.23214163470666,-464.5269623529047,276.9583890391032,3251.147509431644,83.33
,SECONDARY TANK FARM WITH DEHYDRATION FACILITY AND,Petroleum,Not reported,2017,2021-08-31,352.56,455.0,-13.18243809305997,29.056047197640115,-42.23848529070008,632.0365717595713,1644.0,-1011.9634282404287,0,3,0.2930936684728177,-61.47298857815092,-14.089031910776106,13.83681151474289,-503.66834692395116,400.0701383028054,1645.0776641324624,83.33
,STRENGTHENING AND WIDENING WORK OF EXISTING 2-LANE TO,Shoulders Configuration And Strengthening Of Anish,Not reported,2016,2021-08-31,206.8,74.04,-16.13092366028059,-64.19729206963248,48.066368409351895,701.3616131686365,1887.0,-1185.6383868313635,2,3,0.4575123687163955,-53.930556123446905,-15.901708162693975,126.02203045494753,-370.24319414643514,258.73514315121076,3662.180268927258,83.33
,WIDENING AND STRENGTHENING OF EXISTING SL IL DL TO 2 LANE,Two Lane With Paved Shoulder And Gemetric Impr,Not reported,2017,2021-08-31,239.91,147.25,-16.076244033122965,-38.62281688966696,22.546572856543992,844.6963989218488,1430.0,-585.3036010781512,2,3,0.5255021945262901,-56.888157806360915,-15.435644623518215,112.82143485744783,-457.3888403024179,274.37202101840495,3381.443559372289,83.33
,WIDENING OF SL TO 2 L KM. 107-184.80 SUKUMA TO KONTA ON NH,Flash Report,Not reported,2013,2021-08-31,179.89,242.23,-6.111806948681891,34.65451109011063,-40.76631803879252,947.3481369908889,3105.0,-2157.6518630091114,2,3,0.47684675990912295,-47.33287093146582,-15.266599965849256,131.27305231524107,-351.7106532675815,282.0055288032571,3703.7195168471517,83.33
,BHILDI-VIRAMGAM GAUGE CONVERSION INCLUDING GC OF,Flash Report,Not reported,2019,2021-09-30,551.51,773.12,-8.27611838874067,40.18240829722036,-48.45852668596103,905.8372544911026,944.0,-38.16274550889739,2,3,0.32255308448534314,-25.61301975857947,-10.542841694522192,35.5603198271059,-451.38807689520013,278.0903801745386,4009.811854885033,83.33
,GREEN ENERGY CORRIDORS - INTER STATE TRANSSMISSION,Plant (Psp)                      (Power Grid Corporation Of,Not reported,2019,2021-09-30,3519.59,2562.41,5.720024459034548,-27.195781326802276,32.915805785836824,708.9834253405058,883.0,-174.01657465949415,3,3,0.34331231582112653,-37.56280089878515,9.440783583832413,55.15340933697904,-524.3284866476455,322.5618656378575,4248.92942326444,83.33
,REPLACEMENT OF CONVERTER SHELLS TOGETHER WITH BOTTOM,Steel,Not reported,2020,2021-09-30,263.36,253.46,-27.613847811502044,-3.759113001215069,-23.854734810286974,994.2275292345362,394.0,600.2275292345362,2,2,0.43063813173422816,-69.5613679564899,-18.312594079175447,-2.924434853983925,-739.6237465765512,567.9082786892657,2027.5644826824519,83.33
,SUB STATION WORK ASSOCIATED WITH STRENGTHENING OF,Tumkur (Pavagada) Karnataka Phase -Ii (Part Ii)      (Power,Not reported,2019,2021-09-30,608.24,425.04,-8.131477422769732,-30.11968959621202,21.988212173442285,561.1398108580329,913.0,-351.8601891419671,2,3,0.301190342385978,-36.96426485871453,-9.60098293697845,35.71978824607358,-456.40729681805743,280.6092407134774,4018.4931950635837,83.33
,TRANSMISSION SYSTEM ASSOICATED WITH TEHRI PUMP STORAGE,Corridor For Ipps In Chhattisgarh             (Power Grid,Not reported,2017,2021-09-30,871.62,628.13,-10.97685090569716,-27.935338794428766,16.958487888731604,408.25754328519463,1460.0,-1051.7424567148055,3,3,0.27732452417787895,-45.08276617183463,-9.138303401217263,31.85054540931737,-460.765646628973,282.72605404033715,4179.547243315793,83.33
,TRANSMISSION SYSTEM FOR ULTRA MEGA SOLAR POWER AT,Scheme Part-D                         (Power Grid,Not reported,2019,2021-09-30,408.46,369.27,-16.513212959544884,-9.594574744160996,-6.918638215383888,297.32764345156284,1003.0,-705.6723565484372,2,3,0.475311086225508,-69.05756328194968,-18.18640864433152,91.5742846771561,-474.59545961755276,281.98605022189025,3241.0921870660695,83.33
,TRANSMISSION SYSTEM STRENGTHENING IN WR-NR TRANSMISSION,Power,Not reported,2018,2021-09-30,5151.37,3269.93,-3.8174251436759343,-36.52309968027923,32.7056745366033,803.1268504742997,1309.0,-505.87314952570034,2,3,0.3334555380323392,-18.422234359279322,-2.648230393799196,-0.6387299440919758,-74.84568858112897,399.00786072021,847.144162258814,83.33
,C/O STEEL STRUCTURE BUILDINGS USING PRE-ENGINEERED,Urban Development,Not reported,2020,2021-10-31,532.0,541.0,-33.021732648439965,1.6917293233082706,-34.71346197174824,566.2081694447538,364.0,202.20816944475382,0,1,0.3665509917167937,-40.59351021729401,-19.36103393723526,-6.696446280675016,81.49273936886661,118.66780120054183,2685.2728300139115,83.33
,PROPYLENE DERIVATIVES PETROCHEMICAL PROJECT(PDPP) AT,Petroleum,Not reported,2018,2021-10-31,4588.29,5376.5,-3.148768280451134,17.17873107410386,-20.327499354554995,554.6105843141054,1187.0,-632.3894156858946,2,3,0.4339251353229463,-25.85124286100906,2.4903259215731772,14.59636114864211,-511.18805141927106,426.6339113687921,1194.931371064563,83.33
,ADDITIONAL FACILITIES AT AHMEDNAGAR FOR CONVERSION TO,Koyali-Manmad-Ahmednagar-Solapur Pipeline         (Indian Oil,Not reported,2021,2021-12-31,261.0,195.22,-21.527199001353885,-25.203065134099617,3.675866132745732,633.5211296167586,364.0,269.52112961675857,2,1,0.5314771974453742,-55.680914213373924,-17.468462502550903,103.45231977842,-466.7474927775909,278.9601053170088,3286.4048079397944,83.33
,ADDITIONAL FACILITIES AT MANMAD FOR COVERSION TO TOP ON,Petroleum,Not reported,2021,2021-12-31,212.0,177.58,-37.96559391403782,-16.23584905660377,-21.72974485743405,524.8989939781676,364.0,160.8989939781676,0,1,0.37331961879485503,-59.68626763035192,-26.31469146223283,18.676118249623876,-210.3758461579725,257.43512204313106,1966.5990041650375,83.33
,MULTI PRODUCT PIPELINE FROM BINA TERMINAL TO PANKI KANPUR,Top On Koyali-Manmad-Ahmednagar-Solapur Pipeli (Indian,Not reported,2021,2021-12-31,1524.06,1037.45,-10.0400058758546,-31.928532997388547,21.888527121533947,1017.5083472376439,30.0,987.5083472376439,3,0,0.3208745825875682,-46.04421705611647,-10.41670462527014,40.700986544261355,-392.6133112954368,245.22452316266137,4506.47425036667,83.33
,CONSTRUCTION OF PAVED SHOULDERS IN KM.81/0 TO 203/0,Epc(Ministry Of Road Transport And Highways (State,Not reported,2015,2022-02-28,258.97,229.77,-21.506705655177882,-11.275437309340857,-10.231268345837025,440.57108980011935,2403.0,-1962.4289101998806,2,3,0.5314771974453742,-55.680914213373924,-17.468462502550903,107.42123900564192,-461.46426230867996,276.86278139430647,3290.599455785199,83.33
,ELECTRIFICATION OF KHURJA-MEERUT-SAHARANPUR AND G'BAD-,Noapara-Nscb Airport(Mtp)                 (Metropolitan,Not reported,2012,2022-02-28,171.1,141.55,-7.667056895732006,-17.270601987142012,9.603545091410005,912.4730871974358,3651.0,-2738.5269128025643,2,3,0.4873557199163572,-46.19952806678501,-14.634303746879496,131.11497826049862,-321.83380258500864,286.7848241080556,3661.4135603442305,83.33
,FOUR LANING FROM MPMAHARASHTRA BORDER TO NAGPUR IC,Epc(Ministry Of Road Transport And Highways (State,Not reported,2012,2022-02-28,1170.52,2051.36,-15.478373654031842,75.2520247411407,-90.73039839517254,675.6395373448321,3559.0,-2883.360462655168,3,3,0.3105020313687355,-47.875884243693555,-10.106647805132122,27.33449542007454,-465.7166523946184,285.16608255292357,4642.622446685808,83.33
,"GWALIOR-JHANSI, NH-75",Road Transport And Highways,Not reported,2009,2022-02-28,604.0,360.15,-31.572097293469845,-40.372516556291394,8.80041926282155,350.801193514845,4472.0,-4121.198806485155,2,3,0.41524726127803474,-54.78219782553308,-14.205902360925485,-3.515566284841581,-640.8356942528817,448.8009891124779,2209.174206459528,83.33
,HOWRAH DIVISION- PLATFORM SHELTER (40 C CATEGORY,Udaipur                          (North Western Railway) -,Not reported,2018,2022-02-28,157.94,51.75,-10.926742229182304,-67.23439280739521,56.30765057821291,406.1639393677005,1215.0,-808.8360606322994,2,3,0.4073337402314123,-47.11186431619605,-14.043774058816146,123.48525886910174,-273.7942371455233,283.9804668992099,3792.099814775507,83.33
,"LILUAH-DANKUNI 3RD LINE, MM FOR DANKUNI-JONGALPARA-",Stations)                        (Eastern Railways) -,Not reported,2014,2022-02-28,257.42,109.66,-21.870393171944478,-57.400357392588,35.52996422064352,380.3264818280925,2921.0,-2540.6735181719077,2,3,0.5314771974453742,-57.65741069430461,-17.538534669096464,108.37014983322847,-457.07627985881476,274.66879016937384,3339.406074558151,83.33
,"MAVLI JUNCTION-BARI SADRI, MM OF AJMER- CHITTSURGARH-",Meerut                          (Railway Electrification) -,Not reported,2020,2022-02-28,420.18,387.54,-17.566128772908183,-7.768099385977435,-9.798029386930747,338.7336564356103,729.0,-390.2663435643897,2,2,0.4769391786569953,-69.07061403930453,-18.13420561491211,88.5703913760542,-474.22143295435677,281.7741720759406,3230.8807917257077,83.33
,TOLLYGANJ-GARIA WITH EXTENSION TO DUM DUM-NOAPARA AND,Railways,Not reported,2006,2022-02-28,1049.69,3837.57,14.882791244153474,265.59079347235854,-250.70800222820506,552.550386567058,5568.0,-5015.449613432942,0,3,0.4748887888056713,-0.2000106193976663,5.019116439347604,10.764837460994336,-236.9844558509115,367.3191107609668,1988.539472518917,83.33
,TRANSMISSION SYSTEM STRENTHENNING IN INDIAN SYSTEM FOR,Flash Report,Not reported,2018,2022-02-28,808.63,690.89,-11.388774738973101,-14.560429368190645,3.171654629217544,829.7059846222401,1519.0,-689.2940153777599,3,3,0.26790227969767344,-38.34304553145963,-8.946703593141235,33.95898690945657,-464.9093892116274,284.8254928030648,4030.6225580528526,83.33
,JAMMU-UDHAMPUR KM.27.5 TO KM.67.00,Road Transport And Highways,Not reported,2013,2022-03-31,1813.76,2656.47,-32.36336578646171,46.46204569513055,-78.82541148159225,242.7299932612136,3195.0,-2952.2700067387864,2,3,0.35864789023449206,-43.88053494001425,-17.403977145172888,0.9768994806453328,-362.44195488131123,312.03142997378376,2347.7104351601092,83.33
,4 LANING OF NAGPUR-BETUL,Road Transport And Highways,Not reported,2014,2022-04-30,2498.76,2531.46,-23.821786082507383,1.3086490899486072,-25.13043517245599,281.7692377018028,2829.0,-2547.230762298197,2,3,0.3801548845379771,-46.50007866335176,-1.4281051733347994,-0.35450988371175773,-622.6366325425224,447.1210051232411,2056.7205033489126,83.33
,CAPTIVE NATURAL GAS PIPELINE FROM DAHEJ TO KOYALI,Petroleum,Not reported,2021,2022-04-30,315.0,232.8,-18.675087954771413,-26.095238095238095,7.420150140466681,693.9364191588354,150.0,543.9364191588354,0,1,0.29550271323261573,-65.75837646180355,-16.52967517276807,14.332181143672582,-550.820777344052,418.3914769556146,1601.522645468629,83.33
,"CONSTRUCTION OF GRASS ROOT POL TERMINAL AT MOTIHARI,",Refinery                            (Indian Oil Corporation,Not reported,2021,2022-04-30,522.0,443.99,-13.081786447653576,-14.944444444444443,1.8626579967908672,706.180113680633,425.0,281.180113680633,2,2,0.32255308448534314,-24.57508238367332,-14.694591194146795,36.59825720201205,-448.9426777866508,277.415944413673,4011.1607264067643,83.33
,NASHRI- CHANANI,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2015,2022-04-30,2159.0,4729.68,-25.04501135245983,119.06808707735064,-144.11309842981046,783.5314885316367,2525.0,-1741.4685114683634,3,3,0.34966834245522566,-50.20559428567378,-2.933262930483931,42.948613109813635,-559.2290567428082,335.7564004264625,4316.478967810841,83.33
,SETTING UP OF PHASE LL FACILITIES FOR HPCL GREEN R AND D,Bihar                           (Indian Oil Corporation Limited),Not reported,2021,2022-04-30,380.0,366.58,-17.712890384324826,-3.531578947368425,-14.1813114369564,564.8257464593329,180.0,384.8257464593329,2,1,0.47845028411712404,-66.17988802293343,-18.43013609402295,92.13384085323241,-463.76387756068226,276.570259193455,3251.92376912294,83.33
,SYSTEM STRENGTHENING SCHEMES AT TUTICORIN-II (ERSTWHILE,Power,Not reported,2020,2022-04-30,496.11,322.28,-16.066986303583796,-35.038600310415035,18.97161400683124,613.9424893281889,698.0,-84.05751067181109,1,2,0.3037665961832256,-63.50293006498491,-15.66658429884323,7.3705532118160875,-526.2092317350836,463.2848994275047,1479.2343186184494,83.33
,UPGRADATION OF NEW NATIONAL HIGHWAY NO 168 TO TWO LANE,Configuration And Geometric Improvement From,Not reported,2018,2022-05-31,464.07,319.88,-18.08878106670804,-31.07074363781326,12.981962571105218,942.0729891387989,1307.0,-364.9270108612011,2,3,0.4792766871609043,-70.29062656313418,-19.40327790343113,86.4155470385352,-468.86342237537434,279.0951667864494,3103.3393986470437,83.33
,WIDENING AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER,Highways And Infrastructure Development Corporation,Not reported,2018,2022-05-31,216.0,117.19,-16.255494066735327,-45.74537037037037,29.48987630363504,214.67155613539296,1307.0,-1092.328443864607,2,3,0.4655479849691651,-54.559448819598956,-15.98896076808931,111.98432606013847,-333.5916266114555,218.21269806497872,3686.8988615800313,83.33
,BALANCE WORK OF 2-LANE WITH PAVED SHOULDER OF BHOPAL-,Road Transport And Highways,Not reported,2019,2022-06-30,227.49,193.99,-34.04007430248626,-14.725922018550266,-19.314152283935996,226.61322360232379,1276.0,-1049.3867763976762,2,3,0.5264179833793731,-63.45913141796397,-22.424988548912083,3.1841787614090364,-227.70420847600673,289.6569797569801,1180.732989539734,83.33
,DIFFERENT BUILDINGS UNDER PHASE 1 NORTH FOR IIT MANDI AT,Department Of Higher Education,Not reported,2014,2022-06-30,270.83,235.32,-21.991639718022896,-13.111545988258314,-8.880093729764582,833.1782704272282,2798.0,-1964.8217295727718,2,3,0.5290253038282828,-56.73987473029699,-17.456695622063258,103.79813256898194,-466.2956995072679,278.2328028735481,3287.859412826716,83.33
,AUGMENTATION OF PUMPING CAPACITY OF BARAUNI-BONGAIGAON,Petroleum,Not reported,2019,2022-08-31,571.66,511.0,-8.779713530905108,-10.61120246300248,1.831488932097372,592.1387237588217,1004.0,-411.8612762411783,2,3,0.37234230820637504,-30.38117732341253,-3.140248483011268,8.626372754075362,-331.11545933074086,353.7515099449303,1269.0945979942142,83.33
,STRENGTHENING OF CHURAIBARI - AGARTALA SECTION OF NH-08,Highways And Infrastructure Development Corporation,Not reported,2022,2022-08-31,257.96,122.81,-21.506705655177882,-52.39184369669716,30.885138041519276,440.57108980011935,242.0,198.57108980011935,2,1,0.5314771974453742,-55.66339617173754,-17.538534669096464,107.4387570472783,-456.5239201135042,274.3926102967186,3339.9584343034608,83.33
,2-LANE WITH PAVED SHOULDER WITH PROVISION OF CAPACITY,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2016,2022-11-30,530.07,558.12,-13.062651040755087,5.29175391929367,-18.354404960048758,513.2300738639938,2312.0,-1798.7699261360062,2,3,0.32255308448534314,-24.966126956763294,-13.130412901786901,36.20721262892208,-450.03920537346886,277.415944413673,4011.1607264067643,83.33
,4-LANNING OF PORBANDAR DWARKA SECTION IN THE STATE OF,Augmentation Of Rajasthan Border-Fatehpur-Sala Ppp,Not reported,2020,2022-11-30,1958.88,1116.85,-32.0525324013887,-42.985277301315044,10.932744899926341,1176.1386691587454,912.0,264.1386691587454,3,3,0.34401123067614375,-47.343433988546195,-14.709967066206504,41.304189796911345,-475.2197452588229,293.75174468446977,4398.475904935837,83.33
,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AND,Civil Aviation,Not reported,2019,2022-11-30,438.28,405.76,-24.568469489619606,-7.419914210094,-17.148555279525606,862.404191770237,1278.0,-415.59580822976295,2,3,0.518844194714041,-73.088713096483,-19.34255669883112,-11.506202215304043,-514.7401331403614,469.7102696602349,2045.5431093102716,83.33
,QUAZIGUND-BANIHAL KM.220.00 TO KM.188.00,Road Transport And Highways,Not reported,2015,2022-11-30,1987.0,3116.66,-31.24427016491911,56.85254151987921,-88.09681168479833,281.7692377018028,2709.0,-2427.230762298197,2,3,0.3788697314692183,-43.76099650779325,-17.882130874056898,2.3311581034497912,-484.2392527093155,376.8216894446509,2166.8878802770214,83.33
,2 LANNING OF MUZAFFARPUR - SONBARSA,Ennore Port Connectivity                 (National Highways,Not reported,2013,2022-12-31,511.54,576.99,-13.005816487191723,12.794698361809436,-25.80051484900116,513.2300738639938,3347.0,-2833.7699261360062,2,3,0.32255308448534314,-25.376221000746195,-14.694591194146795,40.74140610385122,-449.0046163309427,277.415944413673,4013.9445781931436,83.33
,CONSTN. OF 4 LANING IN KM.99.00 TO 114.375 PACKAGE-V (EPC),Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2019,2022-12-31,247.25,195.15,-16.439462397043656,-21.07178968655207,4.632327289508414,405.1814359037203,1401.0,-995.8185640962797,2,3,0.5255021945262901,-56.673492696186315,-16.38242128039673,113.05812902166744,-457.4711172645018,274.78800953723,3380.611582334639,83.33
,DEVELOPMENT OF ADIQUATE ROAD CONNECTIVITY TO CHENNAI-,Road Transport And Highways,Not reported,2013,2022-12-31,600.0,338.04,-31.700432644131716,-43.66,11.95956735586828,350.801193514845,3500.0,-3149.198806485155,2,3,0.41863221722260646,-60.102984805459,-14.17727934151235,-2.9757331511701217,-641.8089780376172,448.8009891124779,2222.662852234011,83.33
,KRISHNANAGAR-BERHAMPUR,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2014,2022-12-31,702.16,784.03,-11.350230331843152,11.659735672781133,-23.009966004624285,444.48453168383224,3105.0,-2660.5154683161677,3,3,0.2629935382349445,-38.79135098342336,-8.801722457750115,33.92274162560879,-399.5183071519142,252.2395849220958,4097.827575480092,83.33
,SRINAGAR TO BANIHAL,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2014,2022-12-31,1100.7,2986.32,-15.514644126979654,171.31098391932406,-186.8256280463037,515.2406190302854,3135.0,-2619.7593809697146,3,3,0.29714838521540826,-47.875884243693555,-10.106647805132122,27.33449542007454,-465.7166523946184,285.16608255292357,4419.2034545146325,83.33
,"180 TMTPA NEW LPG PLANT AT PATALGANGA(DIST RAIGAD),",Koyali-Manmad-Ahmednagar-Solapur Pipeline (Indian Oil,Not reported,2020,2023-01-31,249.26,278.49,-19.06309400089939,11.726711064751672,-30.789805065651063,598.1314757203595,974.0,-375.8685242796405,2,3,0.5255021945262901,-56.45982689967542,-17.237084466440304,113.27179481817834,-449.01194199226046,270.5584219011093,3398.008222978727,83.33
,ADDITIONAL FACILITIES AT SOLAPUR FOR CONVERSION TO TOP ON,Its Extension Upto Patna And Muzaffarpur           (Indian Oil,Not reported,2021,2023-01-31,348.0,300.86,-19.81765026920769,-13.545977011494248,-6.2716732577134415,726.6336585549126,760.0,-33.366341445087414,2,3,0.5152373068354885,-66.98700023923962,-18.80001274064872,91.69560823674601,-485.104914250907,287.25114494270167,3269.2259850297187,83.33
,AUGMENTATION OF MATHURA-TUNDLA PIPELINE AND ITS,Maharashtra                         (Hindustan Petroleum,Not reported,2022,2023-01-31,676.0,621.05,-11.350230331843152,-8.128698224852078,-3.2215321069910736,637.4345715004715,183.0,454.4345715004715,3,1,0.2629935382349445,-38.79135098342336,-8.801722457750115,33.92274162560879,-399.5183071519142,252.2395849220958,4097.827575480092,83.33
,AUGMENTATION OF PARADIP-HALDIA-DURGAPUR LPG PIPELINE AND,Production Unit(Mops)                    (Oil & Natural Gas,Not reported,2021,2023-01-31,1823.0,2494.42,-18.885903406813924,36.83049917718048,-55.7164025839944,828.512424702325,701.0,127.512424702325,3,2,0.3276465027165769,-47.52793904987822,-13.971946820878408,44.1898594683052,-349.44367332658044,230.8163370840568,4484.894941614883,83.33
,CONSTRUCTION OF ROAD APPROACHES TO RAIL-CUM-ROAD,Carriageway With Paved Shoulder Including Geo,Not reported,2020,2023-01-31,235.48,226.67,-17.06564707367217,-3.741294377441822,-13.32435269623035,822.3863432217488,1066.0,-243.6136567782512,2,3,0.5227913801167413,-57.275785255375084,-15.345501043904282,112.79889896254434,-452.2273475043074,271.8063745841693,3400.849563583497,83.33
,CONVERSION OF RIG SAGAR SAMRAT TO MOBILE OFFSHORE,Petroleum,Not reported,2013,2023-01-31,861.79,1681.69,-13.054224825028754,95.13918704092646,-108.19341186595521,502.1747898367848,3562.0,-3059.825210163215,1,3,0.3650586269205325,-30.585918230511826,-7.013566580603005,12.093998601923147,-338.30783599038426,347.9098202206605,1250.2222832313446,83.33
,REHABILITATION AND UP GRADATION OF EXISTING 2-LANE TO 4-,Bridge Across River Ganga At Munger Ghat Near Munge,Not reported,2021,2023-01-31,564.66,452.72,-5.597490324728013,-19.82431905925689,14.226828734528876,905.8372544911026,548.0,357.8372544911026,2,2,0.31586517064670405,-39.79537106356463,-10.542841694522192,35.5603198271059,-453.12122172051,278.95695258719354,4008.078710059723,83.33
,REHABILITATION SIX LANING UPGRADATION CHANDIKHOLE,Lane Standards To End Of Kamakhyanagar Bypas,Not reported,2021,2023-01-31,1522.0,636.05,-10.0400058758546,-58.2095926412615,48.169586765406905,1017.5083472376439,609.0,408.5083472376439,3,2,0.3208745825875682,-46.04421705611647,-10.41670462527014,40.700986544261355,-392.6133112954368,245.22452316266137,4506.47425036667,83.33
,WIDENING AND STRENFTHENING OF EXISITNG SL IL TO 2 LANE,Road Transport And Highways,Not reported,2016,2023-01-31,191.5,183.94,-26.352429511550373,-3.947780678851176,-22.404648832699195,311.8859063724594,2466.0,-2154.1140936275406,2,3,0.5358279052240071,-62.042528146392456,-21.529576804468274,1.876525204350326,-216.90937211072497,319.9297757705389,1209.4402926948776,83.33
,CREATING INFRASTRUCTURE AT GUJARAT REFINERY AND DUMAD,Petroleum,Not reported,2020,2023-02-28,906.0,453.07,-16.76501718734405,-49.992273730684325,33.227256543340275,502.1747898367848,1123.0,-620.8252101632152,1,3,0.3670277169007217,-28.05282472634582,-7.859183943632333,10.511613697353434,-338.30783599038426,347.9098202206605,1277.8864148169164,83.33
,DEVELOPMENT OF SIX LANE EASTERN PERIPHERAL EXPRESSWAY (,Road Transport And Highways,Not reported,2018,2023-02-28,771.18,792.0,-35.57208005652225,2.6997588111724955,-38.27183886769475,244.9840747707795,1825.0,-1580.0159252292206,2,3,0.3869832229786275,-53.48961077891181,-15.824289264441237,-5.111243271680959,-495.2052493722246,369.4597415449834,2411.798595346364,83.33
